Manifest,Body_Organ,Disease,Num_Cases,Num_Slides,Cancer_Slides,Normal_Slides,CAN_Ratio,Size_GB
Manifests/Adrenal_Gland_PCPG.txt,Adrenal Gland,PCPG,179,189,184,5,0.9735449735449735,38.116775563918054
Manifests/Adrenal_Gland_ACC.txt,Adrenal Gland,ACC,92,96,92,4,0.9583333333333334,16.134973442181945
Manifests/Bile_Duct_CHOL.txt,Bile Duct,CHOL,51,71,51,20,0.7183098591549296,16.427376222796738
Manifests/Bladder_BLCA.txt,Bladder,BLCA,412,469,432,37,0.9211087420042644,111.5672167930752
Manifests/Brain_LGG.txt,Brain,LGG,515,728,728,0,1.0,163.71753299515694
Manifests/Brain_GBM.txt,Brain,GBM,606,1193,1187,6,0.9949706621961442,175.16630952246487
Manifests/Breast_BRCA.txt,Breast,BRCA,1098,1983,1584,399,0.7987897125567323,448.6399501301348
Manifests/Cervix_CESC.txt,Cervix,CESC,307,326,318,8,0.9754601226993865,70.96542678307742
Manifests/Colorectal_READ.txt,Colorectal,READ,171,364,339,25,0.9313186813186813,55.47461033333093
Manifests/Colorectal_COAD.txt,Colorectal,COAD,460,983,874,109,0.8891149542217701,149.79167501535267
Manifests/Esophagus_ESCA.txt,Esophagus,ESCA,183,249,184,65,0.7389558232931727,47.21832469291985
Manifests/Eye_UVM.txt,Eye,UVM,78,78,78,0,1.0,18.09694586135447
Manifests/Head_And_Neck_HNSC.txt,Head And Neck,HNSC,520,791,734,57,0.9279393173198482,86.5724775986746
Manifests/Kidney_KIRC.txt,Kidney,KIRC,537,1656,1092,564,0.6594202898550725,311.59954734146595
Manifests/Kidney_KIRP.txt,Kidney,KIRP,288,474,381,93,0.8037974683544303,95.47865510638803
Manifests/Kidney_KICH.txt,Kidney,KICH,113,240,169,71,0.7041666666666667,180.20933655649424
Manifests/Liver_LIHC.txt,Liver,LIHC,377,492,403,89,0.8191056910569106,101.16539957281202
Manifests/Lung_LUAD.txt,Lung,LUAD,514,1067,823,244,0.7713214620431116,199.4383493354544
Manifests/Lung_LUSC.txt,Lung,LUSC,495,1100,753,347,0.6845454545454546,184.15981559362262
Manifests/Lymph_Nodes_DLBC.txt,Lymph Nodes,DLBC,46,59,59,0,1.0,17.521833426319063
Manifests/Ovary_OV.txt,Ovary,OV,590,1375,1212,163,0.8814545454545455,242.81264232099056
Manifests/Pancreas_PAAD.txt,Pancreas,PAAD,185,257,220,37,0.8560311284046692,53.53306861501187
Manifests/Pleura_MESO.txt,Pleura,MESO,87,88,87,1,0.9886363636363636,19.732777872122824
Manifests/Prostate_PRAD.txt,Prostate,PRAD,496,729,611,118,0.8381344307270233,143.37807823624462
Manifests/Skin_SKCM.txt,Skin,SKCM,470,476,473,3,0.9936974789915967,109.94117876607925
Manifests/Soft_Tissue_SARC.txt,Soft Tissue,SARC,261,290,265,25,0.9137931034482759,66.12009697686881
Manifests/Stomach_STAD.txt,Stomach,STAD,440,764,640,124,0.837696335078534,292.33843323774636
Manifests/Testis_TGCT.txt,Testis,TGCT,150,156,156,0,1.0,36.98027121089399
Manifests/Thymus_THYM.txt,Thymus,THYM,124,137,124,13,0.9051094890510949,33.760109852068126
Manifests/Thyroid_THCA.txt,Thyroid,THCA,506,639,542,97,0.8482003129890454,122.0523585723713
Manifests/Uterus_UCS.txt,Uterus,UCS,57,63,57,6,0.9047619047619048,12.905773736536503
Manifests/Uterus_UCEC.txt,Uterus,UCEC,560,805,751,54,0.9329192546583851,190.7093678014353
